number,value,datetime_start,datetime_complete,duration,params_hmm_components,params_hmm_favourable,params_hmm_gate,params_hmm_threshold,params_hmm_train_years,state
0,9.18067457988228,2026-04-03 16:06:47.509423,2026-04-03 16:06:50.198649,0 days 00:00:02.689226,4,3,threshold,0.9524791518535967,5.0,COMPLETE
1,3.028711611415245,2026-04-03 16:06:50.198847,2026-04-03 16:06:52.381509,0 days 00:00:02.182662,6,1,threshold,0.8718392328470683,5.0,COMPLETE
2,6.327439635337462,2026-04-03 16:06:52.381641,2026-04-03 16:06:53.309605,0 days 00:00:00.927964,2,1,threshold,0.9712646604084909,5.0,COMPLETE
3,6.930554192846074,2026-04-03 16:06:53.309725,2026-04-03 16:06:55.535422,0 days 00:00:02.225697,6,4,threshold,0.8528818292014123,5.0,COMPLETE
4,9.59838985109194,2026-04-03 16:06:55.535545,2026-04-03 16:06:58.381565,0 days 00:00:02.846020,8,6,threshold,0.8797274754949587,5.0,COMPLETE
5,8.262971674995104,2026-04-03 16:06:58.381685,2026-04-03 16:06:59.503625,0 days 00:00:01.121940,3,1,threshold,0.8925939140143353,5.0,COMPLETE
6,4.462281666295356,2026-04-03 16:06:59.503751,2026-04-03 16:07:01.372373,0 days 00:00:01.868622,5,2,threshold,0.8907720796277259,5.0,COMPLETE
7,3.028711611415245,2026-04-03 16:07:01.378077,2026-04-03 16:07:03.628944,0 days 00:00:02.250867,6,1,threshold,0.8909002507949305,5.0,COMPLETE
8,2.443841476997317,2026-04-03 16:07:03.629090,2026-04-03 16:07:05.112121,0 days 00:00:01.483031,4,2,threshold,0.9599246345950219,5.0,COMPLETE
9,3.8370209377101423,2026-04-03 16:07:05.112245,2026-04-03 16:07:06.249738,0 days 00:00:01.137493,3,2,threshold,0.9329380396406859,5.0,COMPLETE
10,9.826404675542086,2026-04-03 16:07:06.249860,2026-04-03 16:07:09.104146,0 days 00:00:02.854286,8,7,threshold,0.9196302563747946,5.0,COMPLETE
11,9.826404675542086,2026-04-03 16:07:09.104273,2026-04-03 16:07:11.954228,0 days 00:00:02.849955,8,7,threshold,0.919849247643511,5.0,COMPLETE
12,9.826404675542086,2026-04-03 16:07:11.954351,2026-04-03 16:07:14.832914,0 days 00:00:02.878563,8,7,threshold,0.9192502021990876,5.0,COMPLETE
13,0.014539135908402386,2026-04-03 16:07:14.833040,2026-04-03 16:07:17.399315,0 days 00:00:02.566275,7,5,threshold,0.9208520138864589,5.0,COMPLETE
14,9.85647637833457,2026-04-03 16:07:17.399438,2026-04-03 16:07:20.246091,0 days 00:00:02.846653,8,7,threshold,0.9355829117210986,5.0,COMPLETE
