number,value,datetime_start,datetime_complete,duration,params_hmm_components,params_hmm_favourable,params_hmm_gate,params_hmm_threshold,params_hmm_train_years,state
0,-999.0,2026-04-03 17:36:31.124410,2026-04-03 17:36:31.125342,0 days 00:00:00.000932,4,3,threshold,0.9524791518535967,5.0,COMPLETE
1,-999.0,2026-04-03 17:36:31.125447,2026-04-03 17:36:31.125654,0 days 00:00:00.000207,6,1,threshold,0.8718392328470683,5.0,COMPLETE
2,-999.0,2026-04-03 17:36:31.125739,2026-04-03 17:36:31.125902,0 days 00:00:00.000163,2,1,threshold,0.9712646604084909,5.0,COMPLETE
3,-999.0,2026-04-03 17:36:31.125980,2026-04-03 17:36:31.126158,0 days 00:00:00.000178,6,4,threshold,0.8528818292014123,5.0,COMPLETE
4,-999.0,2026-04-03 17:36:31.126235,2026-04-03 17:36:31.126412,0 days 00:00:00.000177,8,6,threshold,0.8797274754949587,5.0,COMPLETE
5,-999.0,2026-04-03 17:36:31.126489,2026-04-03 17:36:31.126669,0 days 00:00:00.000180,3,1,threshold,0.8925939140143353,5.0,COMPLETE
6,-999.0,2026-04-03 17:36:31.126745,2026-04-03 17:36:31.126920,0 days 00:00:00.000175,5,2,threshold,0.8907720796277259,5.0,COMPLETE
7,-999.0,2026-04-03 17:36:31.126996,2026-04-03 17:36:31.127169,0 days 00:00:00.000173,6,1,threshold,0.8909002507949305,5.0,COMPLETE
8,-999.0,2026-04-03 17:36:31.127245,2026-04-03 17:36:31.127420,0 days 00:00:00.000175,4,2,threshold,0.9599246345950219,5.0,COMPLETE
9,-999.0,2026-04-03 17:36:31.127499,2026-04-03 17:36:31.127673,0 days 00:00:00.000174,3,2,threshold,0.9329380396406859,5.0,COMPLETE
10,-999.0,2026-04-03 17:36:31.127752,2026-04-03 17:36:31.131050,0 days 00:00:00.003298,8,5,threshold,0.9329310120503098,5.0,COMPLETE
11,-999.0,2026-04-03 17:36:31.131152,2026-04-03 17:36:31.132855,0 days 00:00:00.001703,6,3,threshold,0.9526477682166329,5.0,COMPLETE
12,-999.0,2026-04-03 17:36:31.132941,2026-04-03 17:36:31.134728,0 days 00:00:00.001787,5,3,threshold,0.9839051204322998,5.0,COMPLETE
13,-999.0,2026-04-03 17:36:31.134810,2026-04-03 17:36:31.136480,0 days 00:00:00.001670,7,4,threshold,0.8525422595149097,5.0,COMPLETE
14,-999.0,2026-04-03 17:36:31.136574,2026-04-03 17:36:31.138865,0 days 00:00:00.002291,4,1,threshold,0.9146891927505537,5.0,COMPLETE
15,-999.0,2026-04-03 17:36:31.138983,2026-04-03 17:36:31.140642,0 days 00:00:00.001659,4,2,threshold,0.9168261581113045,5.0,COMPLETE
16,-999.0,2026-04-03 17:36:31.140721,2026-04-03 17:36:31.142315,0 days 00:00:00.001594,7,5,threshold,0.9421253683784004,5.0,COMPLETE
17,-999.0,2026-04-03 17:36:31.142392,2026-04-03 17:36:31.143507,0 days 00:00:00.001115,2,1,threshold,0.8641597683896991,5.0,COMPLETE
18,-999.0,2026-04-03 17:36:31.143586,2026-04-03 17:36:31.145658,0 days 00:00:00.002072,5,3,threshold,0.9059021415574738,5.0,COMPLETE
19,-999.0,2026-04-03 17:36:31.145737,2026-04-03 17:36:31.147336,0 days 00:00:00.001599,7,4,threshold,0.9861454914223371,5.0,COMPLETE
20,-999.0,2026-04-03 17:36:31.147415,2026-04-03 17:36:31.149004,0 days 00:00:00.001589,3,1,threshold,0.8714272182979037,5.0,COMPLETE
