number,value,datetime_start,datetime_complete,duration,params_hmm_components,params_hmm_favourable,params_hmm_gate,params_hmm_threshold,params_hmm_train_years,state
0,1.073042746576597,2026-04-03 17:13:57.038824,2026-04-03 17:13:59.590146,0 days 00:00:02.551322,4,3,threshold,0.9524791518535967,5.0,COMPLETE
1,0.45873154591757337,2026-04-03 17:13:59.590337,2026-04-03 17:14:00.116807,0 days 00:00:00.526470,6,1,threshold,0.8718392328470683,5.0,COMPLETE
2,2.2959268874963015,2026-04-03 17:14:00.116940,2026-04-03 17:14:00.346205,0 days 00:00:00.229265,2,1,threshold,0.9712646604084909,5.0,COMPLETE
3,0.8818650079297949,2026-04-03 17:14:00.346334,2026-04-03 17:14:00.875288,0 days 00:00:00.528954,6,4,threshold,0.8528818292014123,5.0,COMPLETE
4,0.39165899620714484,2026-04-03 17:14:00.875421,2026-04-03 17:14:01.603563,0 days 00:00:00.728142,8,6,threshold,0.8797274754949587,5.0,COMPLETE
5,3.2425325777508403,2026-04-03 17:14:01.603684,2026-04-03 17:14:01.871613,0 days 00:00:00.267929,3,1,threshold,0.8925939140143353,5.0,COMPLETE
6,0.1153669583859155,2026-04-03 17:14:01.871739,2026-04-03 17:14:02.274545,0 days 00:00:00.402806,5,2,threshold,0.8907720796277259,5.0,COMPLETE
7,0.45873154591757337,2026-04-03 17:14:02.274665,2026-04-03 17:14:02.791552,0 days 00:00:00.516887,6,1,threshold,0.8909002507949305,5.0,COMPLETE
8,0.9136269046684466,2026-04-03 17:14:02.791672,2026-04-03 17:14:03.170816,0 days 00:00:00.379144,4,2,threshold,0.9599246345950219,5.0,COMPLETE
9,0.9491435104707343,2026-04-03 17:14:03.170939,2026-04-03 17:14:03.438585,0 days 00:00:00.267646,3,2,threshold,0.9329380396406859,5.0,COMPLETE
10,1.5602502364370594,2026-04-03 17:14:03.438704,2026-04-03 17:14:03.695810,0 days 00:00:00.257106,2,1,threshold,0.9162658250036536,5.0,COMPLETE
11,2.4007351979982197,2026-04-03 17:14:03.695929,2026-04-03 17:14:03.924611,0 days 00:00:00.228682,2,1,threshold,0.9835770549835151,5.0,COMPLETE
12,2.6587161445698437,2026-04-03 17:14:03.924747,2026-04-03 17:14:04.194323,0 days 00:00:00.269576,3,1,threshold,0.9868808973971828,5.0,COMPLETE
13,2.118535095707499,2026-04-03 17:14:04.194441,2026-04-03 17:14:04.577849,0 days 00:00:00.383408,4,1,threshold,0.9211097109140426,5.0,COMPLETE
