number,value,datetime_start,datetime_complete,duration,params_hmm_gate,params_hmm_threshold,params_hmm_train_years,params_state_pos_0,params_state_pos_1,params_state_pos_2,params_state_pos_3,params_state_pos_4,params_state_pos_5,state
0,0.3288885365158038,2026-04-19 15:44:33.792511,2026-04-19 15:44:38.616533,0 days 00:00:04.824022,threshold,0.5584326820046801,5.0,0.9507143064099162,0.7319939418114051,0.5986584841970366,0.15601864044243652,0.15599452033620265,0.05808361216819946,COMPLETE
1,0.07666655875998617,2026-04-19 15:44:38.616832,2026-04-19 15:44:41.889001,0 days 00:00:03.272169,threshold,0.8976615405847053,5.0,0.6011150117432088,0.7080725777960455,0.020584494295802447,0.9699098521619943,0.8324426408004217,0.21233911067827616,COMPLETE
2,0.14314608881883434,2026-04-19 15:44:41.889249,2026-04-19 15:44:45.163466,0 days 00:00:03.274217,threshold,0.42545922737289943,5.0,0.18340450985343382,0.3042422429595377,0.5247564316322378,0.43194501864211576,0.2912291401980419,0.6118528947223795,COMPLETE
3,0.10589465002420068,2026-04-19 15:44:45.163717,2026-04-19 15:44:48.430683,0 days 00:00:03.266966,threshold,0.39625076384990887,5.0,0.29214464853521815,0.3663618432936917,0.45606998421703593,0.7851759613930136,0.19967378215835974,0.5142344384136116,COMPLETE
4,0.19948299985033568,2026-04-19 15:44:48.430988,2026-04-19 15:44:51.690140,0 days 00:00:03.259152,threshold,0.7087660525148093,5.0,0.046450412719997725,0.6075448519014384,0.17052412368729153,0.06505159298527952,0.9488855372533332,0.9656320330745594,COMPLETE
5,0.06064042064199702,2026-04-19 15:44:51.690442,2026-04-19 15:44:55.003758,0 days 00:00:03.313316,threshold,0.8577941702003582,5.0,0.3046137691733707,0.09767211400638387,0.6842330265121569,0.4401524937396013,0.12203823484477883,0.4951769101112702,COMPLETE
6,0.05682968948918061,2026-04-19 15:44:55.004024,2026-04-19 15:44:58.317162,0 days 00:00:03.313138,threshold,0.32372807956950067,5.0,0.9093204020787821,0.2587799816000169,0.662522284353982,0.31171107608941095,0.5200680211778108,0.5467102793432796,COMPLETE
7,0.15069015848219183,2026-04-19 15:44:58.317413,2026-04-19 15:45:01.593524,0 days 00:00:03.276111,threshold,0.42754957431261364,5.0,0.9695846277645586,0.7751328233611146,0.9394989415641891,0.8948273504276488,0.5978999788110851,0.9218742350231168,COMPLETE
8,0.08644843139208175,2026-04-19 15:45:01.593774,2026-04-19 15:45:04.869814,0 days 00:00:03.276040,threshold,0.36105982641582446,5.0,0.1959828624191452,0.045227288910538066,0.32533033076326434,0.388677289689482,0.2713490317738959,0.8287375091519293,COMPLETE
9,0.18405316441282352,2026-04-19 15:45:04.870070,2026-04-19 15:45:08.137795,0 days 00:00:03.267725,threshold,0.5461597954185766,5.0,0.28093450968738076,0.5426960831582485,0.14092422497476265,0.8021969807540397,0.07455064367977082,0.9868869366005173,COMPLETE
10,0.4046629534602528,2026-04-19 15:45:08.138049,2026-04-19 15:45:11.409354,0 days 00:00:03.271305,threshold,0.654427716372924,5.0,0.7061336519557296,0.9695371107878658,0.932290341911787,0.015367737328104314,0.3980433422201766,0.015144237102756877,COMPLETE
