number,value,datetime_start,datetime_complete,duration,params_hmm_components,params_hmm_favourable,params_hmm_gate,params_hmm_threshold,params_hmm_train_years,state
0,3.0639201543806265,2026-04-03 17:17:23.147529,2026-04-03 17:17:24.753761,0 days 00:00:01.606232,4,3,threshold,0.9524791518535967,5.0,COMPLETE
1,0.5460502887034235,2026-04-03 17:17:24.753943,2026-04-03 17:17:25.243272,0 days 00:00:00.489329,6,1,threshold,0.8718392328470683,5.0,COMPLETE
2,2.585224073285397,2026-04-03 17:17:25.243397,2026-04-03 17:17:25.457743,0 days 00:00:00.214346,2,1,threshold,0.9712646604084909,5.0,COMPLETE
3,0.2525185190572665,2026-04-03 17:17:25.457868,2026-04-03 17:17:25.943279,0 days 00:00:00.485411,6,4,threshold,0.8528818292014123,5.0,COMPLETE
4,2.8686555151859503,2026-04-03 17:17:25.943412,2026-04-03 17:17:26.501453,0 days 00:00:00.558041,8,6,threshold,0.8797274754949587,5.0,COMPLETE
5,0.39857050721666015,2026-04-03 17:17:26.501666,2026-04-03 17:17:26.787013,0 days 00:00:00.285347,3,1,threshold,0.8925939140143353,5.0,COMPLETE
6,-0.3660709376236191,2026-04-03 17:17:26.787136,2026-04-03 17:17:27.189021,0 days 00:00:00.401885,5,2,threshold,0.8907720796277259,5.0,COMPLETE
7,0.5460502887034235,2026-04-03 17:17:27.189142,2026-04-03 17:17:27.672510,0 days 00:00:00.483368,6,1,threshold,0.8909002507949305,5.0,COMPLETE
8,0.6751855873767489,2026-04-03 17:17:27.672632,2026-04-03 17:17:28.012271,0 days 00:00:00.339639,4,2,threshold,0.9599246345950219,5.0,COMPLETE
9,-1.443652626886993,2026-04-03 17:17:28.012391,2026-04-03 17:17:28.291873,0 days 00:00:00.279482,3,2,threshold,0.9329380396406859,5.0,COMPLETE
10,1.2265534038400656,2026-04-03 17:17:28.291993,2026-04-03 17:17:28.841883,0 days 00:00:00.549890,8,5,threshold,0.9329310120503098,5.0,COMPLETE
11,3.2875862318818254,2026-04-03 17:17:28.842007,2026-04-03 17:17:29.422786,0 days 00:00:00.580779,8,7,threshold,0.9526477682166329,5.0,COMPLETE
12,-0.11227530905748426,2026-04-03 17:17:29.422909,2026-04-03 17:17:29.961088,0 days 00:00:00.538179,7,4,threshold,0.9839051204322998,5.0,COMPLETE
13,3.0639201543806265,2026-04-03 17:17:29.961208,2026-04-03 17:17:30.301494,0 days 00:00:00.340286,4,3,threshold,0.9502299746989347,5.0,COMPLETE
