number,value,datetime_start,datetime_complete,duration,params_hmm_components,params_hmm_favourable,params_hmm_gate,params_hmm_threshold,params_hmm_train_years,state
0,4.143751331319188,2026-04-03 17:15:44.234502,2026-04-03 17:15:45.772581,0 days 00:00:01.538079,4,3,threshold,0.9524791518535967,5.0,COMPLETE
1,0.0,2026-04-03 17:15:45.772780,2026-04-03 17:15:46.237390,0 days 00:00:00.464610,6,1,threshold,0.8718392328470683,5.0,COMPLETE
2,8.685947025939342,2026-04-03 17:15:46.237530,2026-04-03 17:15:46.452588,0 days 00:00:00.215058,2,1,threshold,0.9712646604084909,5.0,COMPLETE
3,4.604784400419041,2026-04-03 17:15:46.452708,2026-04-03 17:15:46.919598,0 days 00:00:00.466890,6,4,threshold,0.8528818292014123,5.0,COMPLETE
4,1.6191811272428314,2026-04-03 17:15:46.919732,2026-04-03 17:15:47.560397,0 days 00:00:00.640665,8,6,threshold,0.8797274754949587,5.0,COMPLETE
5,3.235084672450175,2026-04-03 17:15:47.560526,2026-04-03 17:15:47.801268,0 days 00:00:00.240742,3,1,threshold,0.8925939140143353,5.0,COMPLETE
6,0.8240719665053039,2026-04-03 17:15:47.801399,2026-04-03 17:15:48.235572,0 days 00:00:00.434173,5,2,threshold,0.8907720796277259,5.0,COMPLETE
7,0.0,2026-04-03 17:15:48.235698,2026-04-03 17:15:48.685392,0 days 00:00:00.449694,6,1,threshold,0.8909002507949305,5.0,COMPLETE
8,0.8814696097717678,2026-04-03 17:15:48.685514,2026-04-03 17:15:49.005665,0 days 00:00:00.320151,4,2,threshold,0.9599246345950219,5.0,COMPLETE
9,5.3622007602219535,2026-04-03 17:15:49.005792,2026-04-03 17:15:49.250669,0 days 00:00:00.244877,3,2,threshold,0.9329380396406859,5.0,COMPLETE
10,8.67427983757657,2026-04-03 17:15:49.250790,2026-04-03 17:15:49.505752,0 days 00:00:00.254962,2,1,threshold,0.9804570243212278,5.0,COMPLETE
11,8.67427983757657,2026-04-03 17:15:49.505879,2026-04-03 17:15:49.722508,0 days 00:00:00.216629,2,1,threshold,0.9835770549835151,5.0,COMPLETE
12,8.67427983757657,2026-04-03 17:15:49.722649,2026-04-03 17:15:49.958737,0 days 00:00:00.236088,2,1,threshold,0.9797250994514798,5.0,COMPLETE
13,8.105032211228492,2026-04-03 17:15:49.958866,2026-04-03 17:15:50.187364,0 days 00:00:00.228498,2,1,threshold,0.959892459140213,5.0,COMPLETE
14,3.235084672450175,2026-04-03 17:15:50.187490,2026-04-03 17:15:50.430666,0 days 00:00:00.243176,3,1,threshold,0.9338416134407657,5.0,COMPLETE
15,2.6048178739764554,2026-04-03 17:15:50.430787,2026-04-03 17:15:51.070297,0 days 00:00:00.639510,8,6,threshold,0.9888310255774024,5.0,COMPLETE
16,1.221599709470436,2026-04-03 17:15:51.070421,2026-04-03 17:15:51.386777,0 days 00:00:00.316356,4,2,threshold,0.9687106151935012,5.0,COMPLETE
17,8.105032211228492,2026-04-03 17:15:51.386899,2026-04-03 17:15:51.606856,0 days 00:00:00.219957,2,1,threshold,0.915624843746603,5.0,COMPLETE
18,3.235084672450175,2026-04-03 17:15:51.606978,2026-04-03 17:15:51.848305,0 days 00:00:00.241327,3,1,threshold,0.9465351241568899,5.0,COMPLETE
19,6.46150816076732,2026-04-03 17:15:51.848426,2026-04-03 17:15:52.280044,0 days 00:00:00.431618,5,3,threshold,0.9135041592835906,5.0,COMPLETE
20,4.372649685801268,2026-04-03 17:15:52.280167,2026-04-03 17:15:52.836325,0 days 00:00:00.556158,7,5,threshold,0.9673734749267251,5.0,COMPLETE
21,8.67427983757657,2026-04-03 17:15:52.836452,2026-04-03 17:15:53.069106,0 days 00:00:00.232654,2,1,threshold,0.9888409445270183,5.0,COMPLETE
22,8.67427983757657,2026-04-03 17:15:53.069234,2026-04-03 17:15:53.287088,0 days 00:00:00.217854,2,1,threshold,0.9781418376718445,5.0,COMPLETE
23,1.7273718062810657,2026-04-03 17:15:53.287210,2026-04-03 17:15:53.531509,0 days 00:00:00.244299,3,1,threshold,0.9779724994048395,5.0,COMPLETE
24,8.105032211228492,2026-04-03 17:15:53.531632,2026-04-03 17:15:53.750667,0 days 00:00:00.219035,2,1,threshold,0.9443984554572729,5.0,COMPLETE
25,1.9512719352612329,2026-04-03 17:15:53.750790,2026-04-03 17:15:54.073873,0 days 00:00:00.323083,4,2,threshold,0.971057498682559,5.0,COMPLETE
26,1.9066565163640772,2026-04-03 17:15:54.073999,2026-04-03 17:15:54.346959,0 days 00:00:00.272960,3,1,threshold,0.9877077028753891,5.0,COMPLETE
27,8.105032211228492,2026-04-03 17:15:54.347093,2026-04-03 17:15:54.584927,0 days 00:00:00.237834,2,1,threshold,0.9594566682011136,5.0,COMPLETE
28,3.235084672450175,2026-04-03 17:15:54.585058,2026-04-03 17:15:54.831932,0 days 00:00:00.246874,3,1,threshold,0.9273412698214826,5.0,COMPLETE
29,0.3392758308658667,2026-04-03 17:15:54.832056,2026-04-03 17:15:55.193259,0 days 00:00:00.361203,4,2,threshold,0.9480110905780016,5.0,COMPLETE
30,8.105032211228492,2026-04-03 17:15:55.193400,2026-04-03 17:15:55.415675,0 days 00:00:00.222275,2,1,threshold,0.9565485286596831,5.0,COMPLETE
31,8.67427983757657,2026-04-03 17:15:55.415799,2026-04-03 17:15:55.630714,0 days 00:00:00.214915,2,1,threshold,0.9783279147786907,5.0,COMPLETE
32,8.67427983757657,2026-04-03 17:15:55.630839,2026-04-03 17:15:55.863531,0 days 00:00:00.232692,2,1,threshold,0.9810696787061126,5.0,COMPLETE
33,1.7273718062810657,2026-04-03 17:15:55.863653,2026-04-03 17:15:56.115067,0 days 00:00:00.251414,3,1,threshold,0.9703509825273772,5.0,COMPLETE
34,8.67427983757657,2026-04-03 17:15:56.115186,2026-04-03 17:15:56.335245,0 days 00:00:00.220059,2,1,threshold,0.981503898932358,5.0,COMPLETE
35,4.228085675027498,2026-04-03 17:15:56.335386,2026-04-03 17:15:56.587210,0 days 00:00:00.251824,3,1,threshold,0.8520853478390205,5.0,COMPLETE
36,0.9947532816419844,2026-04-03 17:15:56.587343,2026-04-03 17:15:56.957110,0 days 00:00:00.369767,4,2,threshold,0.9661932519298256,5.0,COMPLETE
37,8.685947025939342,2026-04-03 17:15:56.957283,2026-04-03 17:15:57.217800,0 days 00:00:00.260517,2,1,threshold,0.9741437228558335,5.0,COMPLETE
38,6.46150816076732,2026-04-03 17:15:57.217942,2026-04-03 17:15:57.703750,0 days 00:00:00.485808,5,3,threshold,0.9521863976798822,5.0,COMPLETE
39,4.52034830402954,2026-04-03 17:15:57.703887,2026-04-03 17:15:58.173086,0 days 00:00:00.469199,6,2,threshold,0.89993855575913,5.0,COMPLETE
40,3.235084672450175,2026-04-03 17:15:58.173209,2026-04-03 17:15:58.417183,0 days 00:00:00.243974,3,1,threshold,0.9386219433299883,5.0,COMPLETE
41,8.685947025939342,2026-04-03 17:15:58.417304,2026-04-03 17:15:58.641365,0 days 00:00:00.224061,2,1,threshold,0.9740270212204029,5.0,COMPLETE
42,8.558946366802862,2026-04-03 17:15:58.641488,2026-04-03 17:15:58.862083,0 days 00:00:00.220595,2,1,threshold,0.9654485115730773,5.0,COMPLETE
43,8.685947025939342,2026-04-03 17:15:58.862218,2026-04-03 17:15:59.093848,0 days 00:00:00.231630,2,1,threshold,0.9748064734220703,5.0,COMPLETE
44,8.685947025939342,2026-04-03 17:15:59.093977,2026-04-03 17:15:59.391418,0 days 00:00:00.297441,2,1,threshold,0.9730022292093166,5.0,COMPLETE
45,1.7273718062810657,2026-04-03 17:15:59.391544,2026-04-03 17:15:59.633761,0 days 00:00:00.242217,3,1,threshold,0.9729192901578078,5.0,COMPLETE
46,8.105032211228492,2026-04-03 17:15:59.633881,2026-04-03 17:15:59.849817,0 days 00:00:00.215936,2,1,threshold,0.8614633616894896,5.0,COMPLETE
47,2.514580210085056,2026-04-03 17:15:59.849942,2026-04-03 17:16:00.095421,0 days 00:00:00.245479,3,1,threshold,0.9549186229470764,5.0,COMPLETE
48,4.205852665528204,2026-04-03 17:16:00.095552,2026-04-03 17:16:00.651603,0 days 00:00:00.556051,7,2,threshold,0.961110916717866,5.0,COMPLETE
49,8.685947025939342,2026-04-03 17:16:00.651733,2026-04-03 17:16:00.867842,0 days 00:00:00.216109,2,1,threshold,0.9734730034982054,5.0,COMPLETE
50,8.558946366802862,2026-04-03 17:16:00.867964,2026-04-03 17:16:01.108229,0 days 00:00:00.240265,2,1,threshold,0.9632328152908269,5.0,COMPLETE
51,8.685947025939342,2026-04-03 17:16:01.108351,2026-04-03 17:16:01.330090,0 days 00:00:00.221739,2,1,threshold,0.9733290525918559,5.0,COMPLETE
52,8.685947025939342,2026-04-03 17:16:01.330211,2026-04-03 17:16:01.545562,0 days 00:00:00.215351,2,1,threshold,0.9742371059278223,5.0,COMPLETE
53,1.7273718062810657,2026-04-03 17:16:01.545683,2026-04-03 17:16:01.793264,0 days 00:00:00.247581,3,1,threshold,0.9842931628994026,5.0,COMPLETE
54,8.105032211228492,2026-04-03 17:16:01.793383,2026-04-03 17:16:02.010103,0 days 00:00:00.216720,2,1,threshold,0.9527507732164265,5.0,COMPLETE
