number,value,datetime_start,datetime_complete,duration,params_hmm_components,params_hmm_favourable,params_hmm_gate,params_hmm_threshold,params_hmm_train_years,state
0,4.542679978992411,2026-04-03 15:16:15.445462,2026-04-03 15:16:17.160466,0 days 00:00:01.715004,3,1,threshold,0.9707785794998673,3.7800932022121825,COMPLETE
1,12.623997772725678,2026-04-03 15:16:17.160660,2026-04-03 15:16:17.549520,0 days 00:00:00.388860,2,1,threshold,0.6226526087455978,6.540362888980227,COMPLETE
2,12.23640528596053,2026-04-03 15:16:17.549651,2026-04-03 15:16:17.937980,0 days 00:00:00.388329,2,1,threshold,0.9782648423431778,3.9091248360355033,COMPLETE
3,12.623997772725678,2026-04-03 15:16:17.938102,2026-04-03 15:16:18.393317,0 days 00:00:00.455215,2,1,threshold,0.7186544747542197,4.456145700990209,COMPLETE
4,1.9666599174241857,2026-04-03 15:16:18.393435,2026-04-03 15:16:18.840349,0 days 00:00:00.446914,5,1,logistic,0.7139364129287351,6.925879806965068,COMPLETE
5,12.984244697268876,2026-04-03 15:16:18.840468,2026-04-03 15:16:19.231384,0 days 00:00:00.390916,2,1,threshold,0.8005514309813085,6.037724259507192,COMPLETE
6,12.623997772725678,2026-04-03 15:16:19.231507,2026-04-03 15:16:19.619805,0 days 00:00:00.388298,2,1,logistic,0.625370121264259,7.041986740582305,COMPLETE
7,6.880387049964018,2026-04-03 15:16:19.619922,2026-04-03 15:16:20.022129,0 days 00:00:00.402207,3,1,threshold,0.6380921244624896,3.6101911742238944,COMPLETE
8,1.4174785019612028,2026-04-03 15:16:20.022249,2026-04-03 15:16:20.420631,0 days 00:00:00.398382,4,1,logistic,0.954634956810725,4.558555380447054,COMPLETE
9,12.928162568324508,2026-04-03 15:16:20.420746,2026-04-03 15:16:20.828422,0 days 00:00:00.407676,4,2,threshold,0.6720932376549555,7.697494707820946,COMPLETE
10,5.0533998636437465,2026-04-03 15:16:20.828543,2026-04-03 15:16:21.279459,0 days 00:00:00.450916,6,3,logistic,0.8714859433097453,5.512656088373982,COMPLETE
