number,value,datetime_start,datetime_complete,duration,params_hmm_components,params_hmm_favourable,params_hmm_gate,params_hmm_threshold,params_hmm_train_years,state
0,9.639645249623923,2026-04-03 15:58:51.267687,2026-04-03 15:58:53.186065,0 days 00:00:01.918378,4,3,threshold,0.9524791518535967,5.0,COMPLETE
1,0.4348972418054764,2026-04-03 15:58:53.186253,2026-04-03 15:58:54.057581,0 days 00:00:00.871328,6,1,threshold,0.8718392328470683,5.0,COMPLETE
2,11.828388912158626,2026-04-03 15:58:54.057698,2026-04-03 15:58:54.482922,0 days 00:00:00.425224,2,1,threshold,0.9712646604084909,5.0,COMPLETE
3,6.2250953889840455,2026-04-03 15:58:54.483036,2026-04-03 15:58:55.383480,0 days 00:00:00.900444,6,4,threshold,0.8528818292014123,5.0,COMPLETE
4,8.353441213339813,2026-04-03 15:58:55.383598,2026-04-03 15:58:56.594504,0 days 00:00:01.210906,8,6,threshold,0.8797274754949587,5.0,COMPLETE
5,5.911424670564549,2026-04-03 15:58:56.594628,2026-04-03 15:58:57.080297,0 days 00:00:00.485669,3,1,threshold,0.8925939140143353,5.0,COMPLETE
6,1.2226970242183888,2026-04-03 15:58:57.080419,2026-04-03 15:58:57.868579,0 days 00:00:00.788160,5,2,threshold,0.8907720796277259,5.0,COMPLETE
7,0.4348972418054764,2026-04-03 15:58:57.868701,2026-04-03 15:58:58.719366,0 days 00:00:00.850665,6,1,threshold,0.8909002507949305,5.0,COMPLETE
8,6.033387047570024,2026-04-03 15:58:58.719487,2026-04-03 15:58:59.314115,0 days 00:00:00.594628,4,2,threshold,0.9599246345950219,5.0,COMPLETE
9,10.858094678526657,2026-04-03 15:58:59.314255,2026-04-03 15:58:59.776255,0 days 00:00:00.462000,3,2,threshold,0.9329380396406859,5.0,COMPLETE
10,11.816721723795883,2026-04-03 15:58:59.776369,2026-04-03 15:59:00.178237,0 days 00:00:00.401868,2,1,threshold,0.9804570243212278,5.0,COMPLETE
11,11.816721723795883,2026-04-03 15:59:00.178367,2026-04-03 15:59:00.577548,0 days 00:00:00.399181,2,1,threshold,0.9835770549835151,5.0,COMPLETE
12,11.816721723795883,2026-04-03 15:59:00.577670,2026-04-03 15:59:00.972862,0 days 00:00:00.395192,2,1,threshold,0.9797250994514798,5.0,COMPLETE
13,11.247474097447775,2026-04-03 15:59:00.972983,2026-04-03 15:59:01.370730,0 days 00:00:00.397747,2,1,threshold,0.959892459140213,5.0,COMPLETE
14,5.854091201389426,2026-04-03 15:59:01.370842,2026-04-03 15:59:01.852760,0 days 00:00:00.481918,3,1,threshold,0.9338416134407657,5.0,COMPLETE
15,9.782240682952253,2026-04-03 15:59:01.852877,2026-04-03 15:59:03.058777,0 days 00:00:01.205900,8,6,threshold,0.9888310255774024,5.0,COMPLETE
16,7.039792863154842,2026-04-03 15:59:03.058899,2026-04-03 15:59:03.631473,0 days 00:00:00.572574,4,2,threshold,0.9687106151935012,5.0,COMPLETE
17,12.263037611243272,2026-04-03 15:59:03.631604,2026-04-03 15:59:04.028270,0 days 00:00:00.396666,2,1,threshold,0.915624843746603,5.0,COMPLETE
18,5.854091201389426,2026-04-03 15:59:04.028388,2026-04-03 15:59:04.490033,0 days 00:00:00.461645,3,1,threshold,0.9191637751238444,5.0,COMPLETE
19,6.697663021795859,2026-04-03 15:59:04.490151,2026-04-03 15:59:05.286566,0 days 00:00:00.796415,5,3,threshold,0.9231478943028409,5.0,COMPLETE
20,14.267492320071238,2026-04-03 15:59:05.286685,2026-04-03 15:59:06.372030,0 days 00:00:01.085345,7,5,threshold,0.9084125711067956,5.0,COMPLETE
21,14.267492320071238,2026-04-03 15:59:06.372171,2026-04-03 15:59:07.460281,0 days 00:00:01.088110,7,5,threshold,0.9093228419840796,5.0,COMPLETE
22,14.267492320071238,2026-04-03 15:59:07.460397,2026-04-03 15:59:08.544948,0 days 00:00:01.084551,7,5,threshold,0.9066046830220424,5.0,COMPLETE
23,14.267492320071238,2026-04-03 15:59:08.545072,2026-04-03 15:59:09.657093,0 days 00:00:01.112021,7,5,threshold,0.9062076655514657,5.0,COMPLETE
24,14.11916848936546,2026-04-03 15:59:09.657212,2026-04-03 15:59:10.753609,0 days 00:00:01.096397,7,5,threshold,0.9054593490357001,5.0,COMPLETE
25,14.84062156584923,2026-04-03 15:59:10.753727,2026-04-03 15:59:11.845622,0 days 00:00:01.091895,7,5,threshold,0.9385213186479306,5.0,COMPLETE
26,3.0127125708431994,2026-04-03 15:59:11.845739,2026-04-03 15:59:13.040925,0 days 00:00:01.195186,8,4,threshold,0.9422640046732563,5.0,COMPLETE
27,14.84062156584923,2026-04-03 15:59:13.041044,2026-04-03 15:59:14.127649,0 days 00:00:01.086605,7,5,threshold,0.9383821699067688,5.0,COMPLETE
28,7.212796875166838,2026-04-03 15:59:14.127761,2026-04-03 15:59:14.988271,0 days 00:00:00.860510,6,4,threshold,0.9433099865588722,5.0,COMPLETE
29,15.311390529476382,2026-04-03 15:59:14.988382,2026-04-03 15:59:16.081878,0 days 00:00:01.093496,7,6,threshold,0.9488314323309355,5.0,COMPLETE
30,14.78507333791643,2026-04-03 15:59:16.082004,2026-04-03 15:59:17.281351,0 days 00:00:01.199347,8,7,threshold,0.9463925634114626,5.0,COMPLETE
31,14.78507333791643,2026-04-03 15:59:17.281467,2026-04-03 15:59:18.510904,0 days 00:00:01.229437,8,7,threshold,0.9508226251040889,5.0,COMPLETE
32,14.676893004000593,2026-04-03 15:59:18.511028,2026-04-03 15:59:19.714930,0 days 00:00:01.203902,8,7,threshold,0.9314006601798068,5.0,COMPLETE
33,11.309566490697238,2026-04-03 15:59:19.715050,2026-04-03 15:59:20.571815,0 days 00:00:00.856765,6,5,threshold,0.9482994801952878,5.0,COMPLETE
34,15.59499300195367,2026-04-03 15:59:20.571940,2026-04-03 15:59:21.658118,0 days 00:00:01.086178,7,6,threshold,0.9639591187808965,5.0,COMPLETE
35,15.59499300195367,2026-04-03 15:59:21.658238,2026-04-03 15:59:22.748924,0 days 00:00:01.090686,7,6,threshold,0.9637782176958916,5.0,COMPLETE
36,8.407053699319397,2026-04-03 15:59:22.749045,2026-04-03 15:59:23.603552,0 days 00:00:00.854507,6,4,threshold,0.9582863539618169,5.0,COMPLETE
37,15.59499300195367,2026-04-03 15:59:23.603669,2026-04-03 15:59:24.728622,0 days 00:00:01.124953,7,6,threshold,0.9675751688500872,5.0,COMPLETE
38,14.374766954030768,2026-04-03 15:59:24.728756,2026-04-03 15:59:25.739533,0 days 00:00:01.010777,5,4,threshold,0.9709898652487366,5.0,COMPLETE
39,11.309566490697238,2026-04-03 15:59:25.739687,2026-04-03 15:59:26.645458,0 days 00:00:00.905771,6,5,threshold,0.9663199593492124,5.0,COMPLETE
40,15.59499300195367,2026-04-03 15:59:26.645580,2026-04-03 15:59:27.828083,0 days 00:00:01.182503,7,6,threshold,0.9637102437006101,5.0,COMPLETE
41,15.59499300195367,2026-04-03 15:59:27.828206,2026-04-03 15:59:28.914653,0 days 00:00:01.086447,7,6,threshold,0.9756253688368637,5.0,COMPLETE
42,15.59499300195367,2026-04-03 15:59:28.914777,2026-04-03 15:59:30.003871,0 days 00:00:01.089094,7,6,threshold,0.9630149963708955,5.0,COMPLETE
43,11.309566490697238,2026-04-03 15:59:30.003991,2026-04-03 15:59:30.862237,0 days 00:00:00.858246,6,5,threshold,0.9763310915199798,5.0,COMPLETE
44,8.113093975020574,2026-04-03 15:59:30.862354,2026-04-03 15:59:32.072685,0 days 00:00:01.210331,8,6,threshold,0.9748717703134501,5.0,COMPLETE
45,13.876001944236153,2026-04-03 15:59:32.072805,2026-04-03 15:59:32.875363,0 days 00:00:00.802558,5,4,threshold,0.9881535997715724,5.0,COMPLETE
46,6.2250953889840455,2026-04-03 15:59:32.875478,2026-04-03 15:59:33.741042,0 days 00:00:00.865564,6,3,threshold,0.8667933454202155,5.0,COMPLETE
47,15.311390529476382,2026-04-03 15:59:33.741168,2026-04-03 15:59:34.835536,0 days 00:00:01.094368,7,6,threshold,0.9555051957650958,5.0,COMPLETE
48,15.068675810393717,2026-04-03 15:59:34.835651,2026-04-03 15:59:36.065775,0 days 00:00:01.230124,8,7,threshold,0.9665925192295122,5.0,COMPLETE
49,15.59499300195367,2026-04-03 15:59:36.065896,2026-04-03 15:59:37.158576,0 days 00:00:01.092680,7,6,threshold,0.9834342877213942,5.0,COMPLETE
50,11.309566490697238,2026-04-03 15:59:37.158698,2026-04-03 15:59:38.019229,0 days 00:00:00.860531,6,5,threshold,0.9749830141875919,5.0,COMPLETE
51,15.59499300195367,2026-04-03 15:59:38.019355,2026-04-03 15:59:39.106843,0 days 00:00:01.087488,7,6,threshold,0.9631425958689266,5.0,COMPLETE
52,15.311390529476382,2026-04-03 15:59:39.106964,2026-04-03 15:59:40.200793,0 days 00:00:01.093829,7,6,threshold,0.9553884399862655,5.0,COMPLETE
53,15.59499300195367,2026-04-03 15:59:40.200912,2026-04-03 15:59:41.291779,0 days 00:00:01.090867,7,6,threshold,0.9636821004228125,5.0,COMPLETE
54,16.422686131082358,2026-04-03 15:59:41.291896,2026-04-03 15:59:42.496655,0 days 00:00:01.204759,8,7,threshold,0.9713610363403016,5.0,COMPLETE
55,16.422686131082358,2026-04-03 15:59:42.496766,2026-04-03 15:59:43.691867,0 days 00:00:01.195101,8,7,threshold,0.9726675814013913,5.0,COMPLETE
56,16.422686131082358,2026-04-03 15:59:43.691988,2026-04-03 15:59:44.921102,0 days 00:00:01.229114,8,7,threshold,0.9822908537270485,5.0,COMPLETE
57,16.254222884993244,2026-04-03 15:59:44.921238,2026-04-03 15:59:46.121857,0 days 00:00:01.200619,8,7,threshold,0.9826073990955628,5.0,COMPLETE
58,16.56381974984851,2026-04-03 15:59:46.121985,2026-04-03 15:59:47.321887,0 days 00:00:01.199902,8,7,threshold,0.9887744568969424,5.0,COMPLETE
