number,value,datetime_start,datetime_complete,duration,params_hmm_components,params_hmm_favourable,params_hmm_gate,params_hmm_threshold,params_hmm_train_years,state
0,-0.39217729943121954,2026-04-03 15:02:32.259413,2026-04-03 15:02:33.603116,0 days 00:00:01.343703,3,2,threshold,0.885477637306448,5.0,COMPLETE
1,-0.12431092227551561,2026-04-03 15:02:33.603321,2026-04-03 15:02:33.812532,0 days 00:00:00.209211,4,1,threshold,0.660837862931119,5.0,COMPLETE
2,0.378942831524284,2026-04-03 15:02:33.812663,2026-04-03 15:02:33.984947,0 days 00:00:00.172284,2,1,threshold,0.9378086968522247,5.0,COMPLETE
3,0.15058620035681816,2026-04-03 15:02:33.985072,2026-04-03 15:02:34.191764,0 days 00:00:00.206692,5,3,threshold,0.6080279527753629,5.0,COMPLETE
4,-0.23844974006850683,2026-04-03 15:02:34.191884,2026-04-03 15:02:34.374612,0 days 00:00:00.182728,6,5,threshold,0.6828122531645276,5.0,COMPLETE
5,0.34486972068947214,2026-04-03 15:02:34.374740,2026-04-03 15:02:34.547600,0 days 00:00:00.172860,2,1,threshold,0.6715277588428392,5.0,COMPLETE
6,-0.4015575607252103,2026-04-03 15:02:34.547724,2026-04-03 15:02:34.727694,0 days 00:00:00.179970,3,2,threshold,0.7684585572704251,5.0,COMPLETE
7,-0.4015575607252103,2026-04-03 15:02:34.727814,2026-04-03 15:02:34.908475,0 days 00:00:00.180661,3,2,threshold,0.6544026056542963,5.0,COMPLETE
8,-0.23093620623787864,2026-04-03 15:02:34.908607,2026-04-03 15:02:35.090660,0 days 00:00:00.182053,3,1,threshold,0.777867293844644,5.0,COMPLETE
9,0.0,2026-04-03 15:02:35.090784,2026-04-03 15:02:35.294878,0 days 00:00:00.204094,5,1,threshold,0.8005514309813085,5.0,COMPLETE
10,0.39899235328739446,2026-04-03 15:02:35.294996,2026-04-03 15:02:35.467792,0 days 00:00:00.172796,2,1,threshold,0.9634159963234203,5.0,COMPLETE
11,0.41967669142897646,2026-04-03 15:02:35.467920,2026-04-03 15:02:35.640866,0 days 00:00:00.172946,2,1,threshold,0.9721075103112208,5.0,COMPLETE
12,0.39899235328739446,2026-04-03 15:02:35.640988,2026-04-03 15:02:35.813480,0 days 00:00:00.172492,2,1,threshold,0.9632032046352473,5.0,COMPLETE
13,0.33225274938352234,2026-04-03 15:02:35.813609,2026-04-03 15:02:35.988652,0 days 00:00:00.175043,2,1,threshold,0.8818367270678785,5.0,COMPLETE
14,-0.38704286956579015,2026-04-03 15:02:35.988778,2026-04-03 15:02:36.174393,0 days 00:00:00.185615,4,3,threshold,0.9881917203491498,5.0,COMPLETE
15,0.32966884750917963,2026-04-03 15:02:36.174517,2026-04-03 15:02:36.348111,0 days 00:00:00.173594,2,1,threshold,0.9026328365899485,5.0,COMPLETE
16,-0.23093620623787864,2026-04-03 15:02:36.348233,2026-04-03 15:02:36.531436,0 days 00:00:00.183203,3,1,threshold,0.836501271360385,5.0,COMPLETE
17,-0.059883473817099006,2026-04-03 15:02:36.531557,2026-04-03 15:02:36.714774,0 days 00:00:00.183217,4,2,threshold,0.9313995449762845,5.0,COMPLETE
18,0.17695878944383003,2026-04-03 15:02:36.714899,2026-04-03 15:02:36.924624,0 days 00:00:00.209725,5,4,threshold,0.9895168610138235,5.0,COMPLETE
19,0.374486011217683,2026-04-03 15:02:36.924745,2026-04-03 15:02:37.133183,0 days 00:00:00.208438,2,1,threshold,0.8545456680877426,5.0,COMPLETE
20,-0.059883473817099006,2026-04-03 15:02:37.133310,2026-04-03 15:02:37.317026,0 days 00:00:00.183716,4,2,threshold,0.7251957916078673,5.0,COMPLETE
21,0.39899235328739446,2026-04-03 15:02:37.317151,2026-04-03 15:02:37.490118,0 days 00:00:00.172967,2,1,threshold,0.9600305231117826,5.0,COMPLETE
22,0.39899235328739446,2026-04-03 15:02:37.490242,2026-04-03 15:02:37.663059,0 days 00:00:00.172817,2,1,threshold,0.9399642093414489,5.0,COMPLETE
23,-0.07629386710262043,2026-04-03 15:02:37.663186,2026-04-03 15:02:37.841748,0 days 00:00:00.178562,3,1,threshold,0.9621857177766228,5.0,COMPLETE
24,0.32966884750917963,2026-04-03 15:02:37.841869,2026-04-03 15:02:38.015498,0 days 00:00:00.173629,2,1,threshold,0.9058254580546874,5.0,COMPLETE
25,-0.23093620623787864,2026-04-03 15:02:38.015623,2026-04-03 15:02:38.197299,0 days 00:00:00.181676,3,1,threshold,0.8589695342589514,5.0,COMPLETE
26,0.3460392110844696,2026-04-03 15:02:38.197425,2026-04-03 15:02:38.371230,0 days 00:00:00.173805,2,1,threshold,0.9167674153142278,5.0,COMPLETE
27,-0.06841900632705074,2026-04-03 15:02:38.371351,2026-04-03 15:02:38.550580,0 days 00:00:00.179229,6,2,threshold,0.9638924212842644,5.0,COMPLETE
28,-0.23093620623787864,2026-04-03 15:02:38.550708,2026-04-03 15:02:38.731902,0 days 00:00:00.181194,3,1,threshold,0.8260307592917652,5.0,COMPLETE
29,0.33225274938352234,2026-04-03 15:02:38.732025,2026-04-03 15:02:38.905760,0 days 00:00:00.173735,2,1,threshold,0.8868563040038556,5.0,COMPLETE
30,-0.07629386710262043,2026-04-03 15:02:38.905888,2026-04-03 15:02:39.084946,0 days 00:00:00.179058,3,1,threshold,0.9656418184271843,5.0,COMPLETE
31,0.39899235328739446,2026-04-03 15:02:39.085069,2026-04-03 15:02:39.257042,0 days 00:00:00.171973,2,1,threshold,0.9551916317983203,5.0,COMPLETE
32,0.41967669142897646,2026-04-03 15:02:39.257166,2026-04-03 15:02:39.431199,0 days 00:00:00.174033,2,1,threshold,0.9789054761136403,5.0,COMPLETE
33,0.41544396271822914,2026-04-03 15:02:39.431322,2026-04-03 15:02:39.603580,0 days 00:00:00.172258,2,1,threshold,0.988238525404446,5.0,COMPLETE
34,0.41967669142897646,2026-04-03 15:02:39.603704,2026-04-03 15:02:39.776192,0 days 00:00:00.172488,2,1,threshold,0.9858761457982662,5.0,COMPLETE
35,-0.16953843638143734,2026-04-03 15:02:39.776313,2026-04-03 15:02:39.956283,0 days 00:00:00.179970,3,1,threshold,0.9308110887424025,5.0,COMPLETE
36,0.41967669142897646,2026-04-03 15:02:39.956406,2026-04-03 15:02:40.129577,0 days 00:00:00.173171,2,1,threshold,0.9878474879572299,5.0,COMPLETE
37,0.378942831524284,2026-04-03 15:02:40.129700,2026-04-03 15:02:40.336793,0 days 00:00:00.207093,2,1,threshold,0.9380039099632025,5.0,COMPLETE
38,-0.16953843638143734,2026-04-03 15:02:40.336922,2026-04-03 15:02:40.519238,0 days 00:00:00.182316,3,1,threshold,0.9173487070721772,5.0,COMPLETE
39,-0.08403770291509863,2026-04-03 15:02:40.519362,2026-04-03 15:02:40.742285,0 days 00:00:00.222923,5,2,threshold,0.9897631521063398,5.0,COMPLETE
40,0.34486972068947214,2026-04-03 15:02:40.742429,2026-04-03 15:02:40.943219,0 days 00:00:00.200790,2,1,threshold,0.7304063881228078,5.0,COMPLETE
41,0.41967669142897646,2026-04-03 15:02:40.943382,2026-04-03 15:02:41.141243,0 days 00:00:00.197861,2,1,threshold,0.9735366787930935,5.0,COMPLETE
42,0.39899235328739446,2026-04-03 15:02:41.141388,2026-04-03 15:02:41.338487,0 days 00:00:00.197099,2,1,threshold,0.9445282628887471,5.0,COMPLETE
43,0.41967669142897646,2026-04-03 15:02:41.338626,2026-04-03 15:02:41.523065,0 days 00:00:00.184439,2,1,threshold,0.9799833200787587,5.0,COMPLETE
44,0.41967669142897646,2026-04-03 15:02:41.523205,2026-04-03 15:02:41.730511,0 days 00:00:00.207306,2,1,threshold,0.9755658884773507,5.0,COMPLETE
45,-0.23093620623787864,2026-04-03 15:02:41.730658,2026-04-03 15:02:41.932826,0 days 00:00:00.202168,3,1,threshold,0.6289203072358309,5.0,COMPLETE
46,0.39899235328739446,2026-04-03 15:02:41.932967,2026-04-03 15:02:42.106975,0 days 00:00:00.174008,2,1,threshold,0.9498585346924581,5.0,COMPLETE
47,-0.16953843638143734,2026-04-03 15:02:42.107103,2026-04-03 15:02:42.288078,0 days 00:00:00.180975,3,1,threshold,0.8836375560258787,5.0,COMPLETE
48,0.3460392110844696,2026-04-03 15:02:42.288201,2026-04-03 15:02:42.461445,0 days 00:00:00.173244,2,1,threshold,0.9201210768504762,5.0,COMPLETE
49,0.41967669142897646,2026-04-03 15:02:42.461569,2026-04-03 15:02:42.633533,0 days 00:00:00.171964,2,1,threshold,0.9750393723915289,5.0,COMPLETE
50,-0.16953843638143734,2026-04-03 15:02:42.633657,2026-04-03 15:02:42.822776,0 days 00:00:00.189119,3,1,threshold,0.9049859045514556,5.0,COMPLETE
51,0.41967669142897646,2026-04-03 15:02:42.822917,2026-04-03 15:02:43.008747,0 days 00:00:00.185830,2,1,threshold,0.9745130558665528,5.0,COMPLETE
52,0.41967669142897646,2026-04-03 15:02:43.008893,2026-04-03 15:02:43.217218,0 days 00:00:00.208325,2,1,threshold,0.9772151160987022,5.0,COMPLETE
53,0.39899235328739446,2026-04-03 15:02:43.217364,2026-04-03 15:02:43.416013,0 days 00:00:00.198649,2,1,threshold,0.9480229831371714,5.0,COMPLETE
54,0.378942831524284,2026-04-03 15:02:43.416139,2026-04-03 15:02:43.591249,0 days 00:00:00.175110,2,1,threshold,0.9304997152915708,5.0,COMPLETE
55,0.41967669142897646,2026-04-03 15:02:43.591375,2026-04-03 15:02:43.765246,0 days 00:00:00.173871,2,1,threshold,0.9766853104526366,5.0,COMPLETE
56,0.39899235328739446,2026-04-03 15:02:43.765368,2026-04-03 15:02:43.975264,0 days 00:00:00.209896,2,1,threshold,0.9532566773309954,5.0,COMPLETE
57,0.41544396271822914,2026-04-03 15:02:43.975393,2026-04-03 15:02:44.147800,0 days 00:00:00.172407,2,1,threshold,0.988526153566421,5.0,COMPLETE
58,-0.07629386710262043,2026-04-03 15:02:44.147921,2026-04-03 15:02:44.327802,0 days 00:00:00.179881,3,1,threshold,0.9662542955636336,5.0,COMPLETE
